doc,word,value
job1,ability communicate,0.0
job1,ability meet,0.0
job1,adobe cs5,0.0
job1,advanced statistical,1.0
job1,advertisement multimedia,0.0
job1,analysis modelling,0.5
job1,analyzing visualizing,0.0
job1,aws tableau,0.0
job1,bachelor degree,0.0
job1,background data,0.0
job1,background photoshop,0.0
job1,background proven,0.5
job1,bioinformatics data,0.0
job1,bioinformatics database,0.0
job1,bioinformatics tool,0.0
job1,contact job1mail,1.0
job1,contact job44mail,0.0
job1,corporate identity,0.0
job1,cs5 programming,0.0
job1,data analysis,0.5
job1,data analytic,0.0
job1,data architecture,0.0
job1,data design,1.0
job1,data modelling,0.0
job1,data science,0.0
job1,database bioinformatics,0.0
job1,degree graphic,0.0
job1,delivering data,0.0
job1,delivering machine,1.0
job1,design corporate,0.0
job1,design interactive,0.0
job1,design related,0.0
job1,design strong,0.0
job1,design web,0.0
job1,designer related,0.0
job1,discipline bioinformatics,0.0
job1,dreamweaver illustrator,0.0
job1,effective time,0.0
job1,excellent oral,0.0
job1,excellent skill,0.0
job1,experience advanced,1.0
job1,experience bioinformatics,0.0
job1,experience data,0.333
job1,experience delivering,0.5
job1,experience graphic,0.0
job1,experience number,0.333
job1,experience related,0.0
job1,experience tool,0.0
job1,experience using,0.0
job1,experience web,0.0
job1,experienced mac,0.0
job1,five year,1.0
job1,following language,0.333
job1,four year,0.0
job1,graphic design,0.0
job1,graphic designer,0.0
job1,identity advertisement,0.0
job1,identity product,0.0
job1,interactive medium,0.0
job1,java spark,0.5
job1,knowledge html,0.0
job1,knowledge variety,0.0
job1,language tool,0.333
job1,large datasets,0.0
job1,learning predictive,0.0
job1,learning project,0.5
job1,learning technique,0.0
job1,mac platform,0.0
job1,machine learning,0.167
job1,management skill,0.0
job1,managing analyzing,0.0
job1,marketing product,0.0
job1,marketing production,0.0
job1,marketing web,0.0
job1,matlab sas,0.333
job1,meet deadline,0.0
job1,method machine,0.0
job1,modelling method,0.5
job1,multimedia design,0.0
job1,number following,0.333
job1,one three,0.0
job1,oral written,0.0
job1,packaging advertisement,0.0
job1,photoshop dreamweaver,0.0
job1,photoshop illustrator,0.0
job1,platform excellent,0.0
job1,please contact,0.5
job1,predictive modelling,0.0
job1,product packaging,0.0
job1,production website,0.0
job1,proficient graphic,0.0
job1,proficient python,0.0
job1,programming background,0.167
job1,programming language,0.0
job1,proven experience,0.5
job1,python matlab,0.333
job1,python r,0.0
job1,r programming,0.0
job1,related field,0.0
job1,related scientific,0.0
job1,relevant programming,0.0
job1,sas java,0.5
job1,sas sql,0.0
job1,scala aws,0.0
job1,science machine,0.0
job1,scientific discipline,0.0
job1,skill ability,0.0
job1,skill adobe,0.0
job1,skill bioinformatics,0.0
job1,sophisticated statistical,0.0
job1,spark scala,0.5
job1,sql python,0.333
job1,statistic programming,0.333
job1,statistical method,0.0
job1,statistical technique,1.0
job1,strong knowledge,0.0
job1,strong statistic,0.333
job1,three year,0.25
job1,time management,0.0
job1,tool managing,0.0
job1,tool relevant,0.0
job1,tool sql,0.333
job1,understanding marketing,0.0
job1,using sophisticated,0.0
job1,variety machine,0.0
job1,visualizing large,0.0
job1,web design,0.0
job1,web marketing,0.0
job1,website design,0.0
job1,written skill,0.0
job1,year experience,0.286
job2,ability communicate,0.0
job2,ability meet,0.0
job2,adobe cs5,0.0
job2,advanced statistical,0.0
job2,advertisement multimedia,0.0
job2,analysis modelling,0.5
job2,analyzing visualizing,0.0
job2,aws tableau,1.0
job2,bachelor degree,0.0
job2,background data,0.0
job2,background photoshop,0.0
